code,airline,belongs
J7,Centre-Avia Airlines,俄罗斯
J9,Guinee Airlines|几内亚航空,几内亚
JB,Helijet International,加拿大
JC,JAL Express|日航快捷,日本
JD,Beijing capital airlines|首都航空,中国
JJ,Aviogenex,
JJ,TAM Linhas Aereas,巴西
JK,Spanair|西班牙斯班航空,西班牙
JL,Japan Airlines|日本航空,日本
JM,Air Jamaica|牙买加航空,牙买加
JO,JALways|日线航空,日本
JP,Adria Airways|亚德里亚航空,斯洛文尼亚
JQ,Jetstar Airways|捷星航空,澳洲
JS,高丽航空,朝鲜
JT,Lion Air|狮子航空,印度尼西亚
JU,Jat Airways,塞尔维亚
JW,Arrow Air|华箭货运,美国
K9,Tonle sap airline|通里萨航空,柬埔寨
KA,Dragonair|港龙航空,香港
KB,Druk Air,不丹
KE,Korean Air|大韩航空,韩国
KF,Blue1|蓝天航空,芬兰
KL,KLM|荷兰皇家航空,荷兰
KM,Air Malta|马耳他航空,马耳他
KN,中国联合航空,中国
KT,KTK Airlines|大高航空,香港
KQ,Kenya Airways|肯尼亚航空,肯尼亚
KU,Kuwait Airways|科威特航空,科威特
KV,Kavminvodyavia,俄罗斯
KW,Kelowna Flightcraft,
KX,Cayman Airways|开曼航空,开曼群岛
KY,Kunming Airlines|昆明航空,中国
KZ,Nippon Cargo Airlines|日本货物航空,日本
L4,Lauda Italy,意大利
LA,Lan Chile|智利国家航空,智利
LB,Lloyd Aereo Boliviano,玻利维亚
LD,Air Hong Kong|香港华民航空,中国香港
LG,Luxair|卢森堡航空,卢森堡
LH,Deutsche Lufthansa|德国汉莎航空,德国
LJ,Sierra National Airlines,利比里亚
LJ,Jin Air|真航空,韩国
LK,Air Luxor,
LL,Lineas Aeras Allegro,墨西哥
LN,Libyan Arab Airlines,利比亚
LO,LOT Polish Airlines|波兰航空,波兰
LP,Lan Peru|秘鲁国家航空,秘鲁
LR,LACSA/TACA,哥斯达黎加
LS,Channel Express Air Services Ltd., 英国
LT,LTU国际航空,德国
LX,Swiss International Air Lines|瑞士国际航空,瑞士
LY,El Al Israel Airlines|以色列航空,以色列
LZ,保加利亚航空公司,保加利亚
MA,Malev Hungarian Airlines|匈牙利航空,匈牙利
MB,MNG Airlines,土耳其
MD,Air Madagascar|马达加斯加航空,马达加斯加
ME,Middle East Airlines|中东航空,黎巴嫩
MF,Xiamen Airlines|厦门航空,中国
MH,Malaysia Airlines|马来西亚航空,马来西亚
MI,Silk Air|胜安航空,新加坡
MJ,Lineas Aereas Privadas Argentinas|阿根廷私有航空公司,阿根廷
MK,Air Mauritius|毛里求斯航空,毛里求斯
MM,Peach Aviation|乐桃航空,日本
MP,Martinair|马丁航空,荷兰
MR,Air Mauritania|毛里塔尼亚航空公司,毛里塔尼亚
MS,Egyptair|埃及航空,埃及
MT,Thomas Cook Airlines|托马斯库克航空,英国
MU,China Eastern Airlines|中国东方航空公司,中国
MV,Armenian International Airways|亚美尼亚国际航空公司,亚美尼亚
MX,Mexicana de Aviacion|墨西哥航空,墨西哥
MZ,Merpati Nusantara Airlines|鸽航,印度尼西亚
N3,Omskavia Airline,俄罗斯
NB,Sterling European,丹麦
NE,Sky Europe Airlines,斯洛伐克
NG,Lauda Air|维也纳航空公司,奥地利
NH,All Nippon Airways|全日本空输,日本
NI,Portugalia,葡萄牙
NK,Spirit Airlines|精神航空,美国
NL,Shaheen Air International,巴基斯坦
NQ,Air Japan,日本
NS,Hebei Airlines|河北航空,中国
NV,中日本航空株式会社,日本
NX,Air Macau|澳门航空,澳门
NW,Northwest Airlines|西北航空,美国
NZ,Air New Zealand|新西兰航空,新西兰
O3,SF Airlines|顺丰航空,中华人民共和国
OA,Olympic Airlines|奥林匹亚航空,希腊
OB,Astrahan Airlines,俄罗斯
OH,Comair,美国
OK,CSA Czech Airlines|捷克航空,捷克
OM,Miat-Mongolian Airlines,蒙古
OO,SkyWest,
OQ,重庆航空,中华人民共和国
OS,Austrian Airlines|奥地利航空,奥地利
